Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Rope,1948,80 min.,Alfred Hitchcock,"James Stewart, John Dall, Farley Granger","Based-on-a-True-Story, Based-on-Theatre, Crime Drama",
Memories of Murder,2003,130 min.,Bong Joon Ho,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim","Based-on-a-True-Story, Crime Drama, Crime Thriller",
The Searchers,1956,119 min.,John Ford,"John Wayne, Jeffery Hunter, Vera Miles","Epic, Revisionist Western, Western",
My Neighbor Totoro,1988,86 min.,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi","Adventure, Animation, Anime",
Anatomy of a Murder,1959,160 min.,Otto Preminger,"James Stewart, Lee Remick, Eve Arden","Courtroom Drama, Drama",
Eternal Sunshine of the Spotless Mind,2004,108 min.,Michel Gondry,"Jim Carrey, Kate Winslet, Elijah Wood","Comedy Drama, Drama, Mindbender",
The Breakfast Club,1985,97 min.,John Hughes,"Emilio Estevez, Molly Ringwald, Anthony Michael Hall","Comedy Drama, Coming-of-Age, Drama",
The Thin Man,1934,91 min.,W.S. Van Dyke,"William Powell, Nat Pendleton, Minna Gombell","Based-on-20th-Century-Literature, Comedy Thriller, Comedy",
American History X,1998,119 min.,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo","Crime, Crime Drama, Drama",
Office Space,1999,89 min.,Mike Judge,"Stephen Root, Gary Cole, John C. McGinley","Black Comedy, Comedy, Workplace Comedy",
Days of Heaven,1978,94 min.,Terrence Malick,"Richard Gere, Brooke Adams, Sam Shepard","Costume Romance, Drama, New Hollywood",
It's a Wonderful Life,1946,130 min.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore","Americana, Comedy Drama, Drama",
The Killing,1956,85 min.,Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards","Based-on-20th-Century-Literature, Caper, Crime Thriller",
Bringing Up Baby,1938,102 min.,Howard Hawks,"Katharine Hepburn, Cary Grant, Charles Ruggles","Comedy, Romance, Romantic Comedy",
Fanny and Alexander,1982,188 min.,Ingmar Bergman,"Ewa Fröling, Gunn Wållgren, Jan Malmsjö","Childhood Drama, Drama, Family Drama",
Sullivan's Travels,1941,90 min.,Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick","Comedy, Road Movie, Romance",
Rififi,1955,122 min.,Jules Dassin,"Jean Servais, Carl Mohner, Robert Manuel","Caper, Crime Thriller, Crime",
Butch Cassidy and the Sundance Kid,1969,110 min.,George Roy Hill,"Paul Newman, Robert Redford, Strother Martin","Buddy Film, New Hollywood, Outlaw",
A Fistful of Dollars,1964,99 min.,Sergio Leone,"Clint Eastwood, Marianne Koch, Wolfgang Lukschy","Action, Foreign Language Film, Outlaw",
Rio Bravo,1959,141 min.,Howard Hawks,"John Wayne, Angie Dickinson, Dean Martin","Buddy Film, Traditional Western, Western",
The Wizard of Oz,1939,101 min.,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger","Adventure, Based-on-19th-Century-Literature, Based-on-Theatre",
Unforgiven,1992,131 min.,Clint Eastwood,"Clint Eastwood, Gene Hackman, Frances Fisher","Outlaw, Prostitution Film, Revenge Film",
