Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
E.T.: The Extra-Terrestrial,1982,115 min.,Steven Spielberg,Dee Wallace,Adventure Drama,Adventure
The Life and Death of Colonel Blimp,1943,163 min.,"Michael Powell, Emeric Pressburger",Roger Livesey,Costume Romance,Drama
The Long Goodbye,1973,112 min.,Robert Altman,Elliott Gould,Based-on-20th-Century-Literature,Crime Thriller
Django Unchained,2012,165 min.,Quentin Tarantino,Jamie Foxx,Drama,Revenge Film
The Shop Around the Corner,1940,99 min.,Ernst Lubitsch,Margaret Sullavan,Comedy,Drama
WALL·E,2008,98 min.,Andrew Stanton,Fred Willard,Adventure Comedy,Animation
To Kill a Mockingbird,1962,129 min.,Robert Mulligan,Gregory Peck,Based-on-20th-Century-Literature,Childhood Drama
Scarface,1983,170 min.,Brian De Palma,Al Pacino,Crime Drama,Crime Thriller
The Hustler,1961,134 min.,Robert Rossen,Paul Newman,Addiction Drama,Con Artist / Hustler
Dial M for Murder,1954,105 min.,Alfred Hitchcock,Ray Milland,Based-on-Theatre,Crime Thriller
12 Monkeys,1995,129 min.,Terry Gilliam,Bruce Willis,Cyberpunk / Tech Noir,Dystopian Film
The Wild Bunch,1969,145 min.,Sam Peckinpah,William Holden,Action,New Hollywood
Ugetsu,1953,94 min.,Kenji Mizoguchi,Masayuki Mori,Costume Romance,Drama
American Beauty,1999,122 min.,Sam Mendes,Kevin Spacey,Comedy Drama,Coming-of-Age
The Lady Vanishes,1938,97 min.,Alfred Hitchcock,Margaret Lockwood,Based-on-20th-Century-Literature,Comedy Thriller
The Incredibles,2004,115 min.,Brad Bird,Craig T. Nelson,Action Comedy,Action
Braveheart,1995,177 min.,Mel Gibson,Mel Gibson,Adventure Drama,Adventure
The French Connection,1971,104 min.,William Friedkin,Gene Hackman,Action Thriller,Action
Bride of Frankenstein,1935,75 min.,James Whale,Boris Karloff,Based-on-19th-Century-Literature,Gothic Film
Army of Shadows,1969,145 min.,Jean-Pierre Melville,Lino Ventura,Drama,Foreign Language Film
The Bridge on the River Kwai,1957,161 min.,David Lean,William Holden,Based-on-20th-Century-Literature,Drama
Young Frankenstein,1974,106 min.,Mel Brooks,Gene Wilder,Comedy,Horror Comedy
Grave of the Fireflies,1988,89 min.,Isao Takahata,Tsutomu Tatsumi,Animation,Anime
Black Narcissus,1947,100 min.,"Michael Powell, Emeric Pressburger",Deborah Kerr,Based-on-20th-Century-Literature,Drama
